2023-04-14 13:43:54,627 INFO    MainThread:126373 [wandb_setup.py:_flush():76] Configure stats pid to 126373
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_setup.py:_flush():76] Loading settings from /home/puck/.config/wandb/settings
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_setup.py:_flush():76] Loading settings from /home/puck/projects/NequiReact/wandb/settings
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/puck/projects/NequiReact/train.py'}
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_init.py:_log_setup():507] Logging user logs to /home/puck/projects/NequiReact/wandb/run-20230414_134354-7izr8aku/logs/debug.log
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_init.py:_log_setup():508] Logging internal logs to /home/puck/projects/NequiReact/wandb/run-20230414_134354-7izr8aku/logs/debug-internal.log
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_init.py:init():547] calling init triggers
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_init.py:init():595] starting backend
2023-04-14 13:43:54,628 INFO    MainThread:126373 [wandb_init.py:init():599] setting up manager
2023-04-14 13:43:54,629 INFO    MainThread:126373 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-14 13:43:54,630 INFO    MainThread:126373 [wandb_init.py:init():605] backend started and connected
2023-04-14 13:43:54,631 INFO    MainThread:126373 [wandb_init.py:init():695] updated telemetry
2023-04-14 13:43:54,634 INFO    MainThread:126373 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-14 13:43:55,071 INFO    MainThread:126373 [wandb_run.py:_on_init():2176] communicating current version
2023-04-14 13:43:55,154 INFO    MainThread:126373 [wandb_run.py:_on_init():2185] got version response 
2023-04-14 13:43:55,155 INFO    MainThread:126373 [wandb_init.py:init():782] starting run threads in backend
2023-04-14 13:43:57,266 INFO    MainThread:126373 [wandb_run.py:_console_start():2157] atexit reg
2023-04-14 13:43:57,266 INFO    MainThread:126373 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-14 13:43:57,267 INFO    MainThread:126373 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-14 13:43:57,267 INFO    MainThread:126373 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-14 13:43:57,267 INFO    MainThread:126373 [wandb_init.py:init():824] run started, returning control to user process
2023-04-14 13:44:48,177 WARNING MsgRouterThr:126373 [router.py:message_loop():77] message_loop has been closed
