atom   6    4.1535293   -0.9800528    0.7507028
atom   8    3.1317693   -0.0250328    0.4450428
atom   6    1.9899593   -0.5075028   -0.0879872
atom   8    1.8279693   -1.6985228   -0.3049672
atom   6    1.0468593    0.5795972   -0.3334972
atom   6   -0.3092607    0.6007272   -0.4468472
atom   6   -1.3542107   -0.4144128   -0.4771972
atom   6   -2.6499507   -0.0727228   -0.0284772
atom   6   -3.6765207   -1.0158728   -0.0271372
atom   6   -3.4400707   -2.3119428   -0.4968072
atom   6   -2.1671307   -2.6583828   -0.9632872
atom   6   -1.1320407   -1.7248428   -0.9514472
atom   6   -0.6503507    2.1237572   -0.4019572
atom   6   -0.3750807    2.6013772    1.0385028
atom   6    0.9559893    2.5717172    1.1541928
atom   6    1.4592393    2.0704172   -0.2160772
atom   8    0.4853293    2.6585272   -1.0910172
atom   1    4.9929493   -0.4054128    1.1595228
atom   1    3.7949293   -1.7073328    1.4939028
atom   1    4.4670093   -1.5157628   -0.1574872
atom   1   -2.8528707    0.9343972    0.3399528
atom   1   -4.6676907   -0.7360228    0.3367528
atom   1   -4.2472507   -3.0481728   -0.5050272
atom   1   -1.9795007   -3.6660428   -1.3415172
atom   1   -0.1424507   -1.9983528   -1.3101072
atom   1   -1.5943107    2.4214072   -0.8682672
atom   1   -1.1404807    2.8319872    1.7783928
atom   1    1.5886893    2.7759372    2.0171328
atom   1    2.4849493    2.3165372   -0.5049872
bond   1   2
bond   2   3
bond   3   4
bond   3   5
bond   5   6
bond   6   7
bond   7   8
bond   8   9
bond   9  10
bond  10  11
bond   7  12
bond  11  12
bond   6  13
bond  13  14
bond  14  15
bond   5  16
bond  15  16
bond  13  17
bond  16  17
bond   1  18
bond   1  19
bond   1  20
bond   8  21
bond   9  22
bond  10  23
bond  11  24
bond  12  25
bond  13  26
bond  14  27
bond  15  28
bond  16  29
