atom   7    5.4216950    0.7316660    0.8110440
atom   6    4.3622450    0.2944960    0.5911940
atom   6    3.0920450   -0.2322940    0.3259740
atom   7    1.9254950    0.4091160    0.3251540
atom   6    0.8982050   -0.4362940    0.0177740
atom   6   -0.5004050   -0.0552440   -0.0728360
atom   6   -1.4800350   -1.0342940   -0.3467960
atom   6   -2.8263650   -0.6818940   -0.4339660
atom   6   -3.2275050    0.6454060   -0.2521860
atom   6   -2.2636650    1.6233160    0.0179440
atom   6   -0.9154450    1.2816160    0.1066440
atom   6    1.4931950   -1.7236440   -0.1879160
atom   8    1.0781950   -2.8309040   -0.4776160
atom   8    2.8857550   -1.5196140    0.0213740
atom   1    1.8351650    1.4049360    0.5338740
atom   1   -1.1762450   -2.0705740   -0.4889460
atom   1   -3.5693250   -1.4544740   -0.6452260
atom   1   -4.2831150    0.9171960   -0.3209660
atom   1   -2.5633250    2.6640960    0.1602740
atom   1   -0.1865650    2.0673860    0.3152040
bond   1   2
bond   2   3
bond   3   4
bond   4   5
bond   5   6
bond   6   7
bond   7   8
bond   8   9
bond   9  10
bond   6  11
bond  10  11
bond   5  12
bond  12  13
bond   3  14
bond  12  14
bond   4  15
bond   7  16
bond   8  17
bond   9  18
bond  10  19
bond  11  20
