set mae_mean mae_std rmse_mean rmse_std
cyclo-none 2.708411504622571 0.12186008188061864 3.7268801577919555 0.22968688096881873
cyclo-none-withH 2.761349600026486 0.0990513914446032 3.7961131169694995 0.197870782743933
cyclo-rxnmapper 2.7084540018375627 0.0742697669240269 3.7194230238246155 0.1641285813853942
cyclo-rxnmapper-withH 2.7925641740549225 0.1210182005947886 3.848199762355756 0.20399653132751477
cyclo-scaffold-none 3.0857659777244804 0.30493680030080117 4.061613605031269 0.4473701297064122
cyclo-scaffold-rxnmapper 2.9172940038045363 0.2262959768669894 3.8916282140374676 0.3924623363441568
cyclo-scaffold-true 2.9236965621248765 0.24356001788289036 3.8741936077536883 0.39023794571108
cyclo-true 2.694032997786769 0.09950432242359562 3.698518011247509 0.1978739510600507
gdb-none 9.042424875029074 0.21082611124031864 13.238459945143628 0.4531808057901108
gdb-none-withH 8.874916829608864 0.2833205622210792 13.09257306140449 0.393691427013926
gdb-rxnmapper 5.687708121694191 0.16847579182444458 9.57300517474922 0.27964759679051643
gdb-rxnmapper-withH 6.356563825423855 0.09156095411026648 10.45512928107334 0.21203441158883649
gdb-scaffold-none 12.878929653792005 0.575626171124056 17.396169820524698 0.7672131642447242
gdb-scaffold-rxnmapper 8.654547614013076 0.7638874597293978 12.824581819217496 0.8577818280658258
gdb-scaffold-true 7.061453822835706 0.6444864629917931 10.581841727856213 0.8738300104494495
gdb-true 4.34772152816255 0.14795579396650146 7.569524624943002 0.3247101347132077
gdb-true-withH 4.121896822572817 0.13224639293359924 7.255188743155078 0.3090827604893501
proparg-none 1.555116497454719 0.15521762463691055 2.014332978933632 0.18913554693787887
proparg-none-withH 1.5428180743264455 0.13933502321661048 1.9827515414217687 0.15835797519236333
proparg-scaffold-none 1.6364649995741025 0.19178233815043141 2.225600363104076 0.35256175993519623
proparg-scaffold-true 1.640953817549947 0.21443987884768576 2.2147262372800043 0.3472658960317747
proparg-true 1.5257743279327993 0.1367801969821258 1.9709920704728892 0.15852134188486752
proparg-true-withH 1.5450091540074844 0.161721771793014 1.995675101883173 0.19354540123718517
